Price,Close,High,Low,Open,Volume
Ticker,VOO,VOO,VOO,VOO,VOO
Date,,,,,
2015-07-14,160.292236328125,160.5494053665751,159.5041339868736,159.58708479948254,1128900
2015-07-15,160.225830078125,160.71528152930196,159.7944429161569,160.35026259674783,1174800
2015-07-16,161.45367431640625,161.49515605844653,160.9808179008082,161.1965052375871,949500
2015-07-17,161.64451599121094,161.70258031343425,161.1384690303387,161.50347551198442,872100
2015-07-20,161.71914672851562,162.1505340588961,161.43709113722662,161.84357929571655,1103500
2015-07-21,161.08033752441406,161.81037555749492,160.82316848779195,161.61957476555727,772400
2015-07-22,160.7650909423828,161.07204565523875,160.42497109497774,160.42497109497774,1193800
2015-07-23,159.84429931640625,160.9642432020822,159.56224368807892,160.939356685374,899300
2015-07-24,158.17684936523438,160.01852766832354,157.91968023742106,159.99364115004823,1589100
2015-07-27,157.28091430664062,157.8865200748846,156.9158951198783,157.43853737896566,1745600
2015-07-28,159.1889190673828,159.3631373272387,157.31406324485033,158.11045702531774,931300
2015-07-29,160.31715393066406,160.52454999008276,159.20551409020797,159.33825060626415,2471200
2015-07-30,160.34201049804688,160.50792478290387,159.2967391108442,159.91892717289429,924400
2015-07-31,160.06825256347656,160.87295016823495,159.86916047715218,160.87295016823495,1437200
2015-08-03,159.57049560546875,160.11801145298583,158.72431633792718,160.10972016960378,3081700
2015-08-04,159.25526428222656,159.91063016629312,158.83218093872404,159.57051029804163,1601700
2015-08-05,159.8110809326172,160.73191979234613,159.5373166598925,160.1429095100993,1369900
2015-08-06,158.59158325195312,160.05164664070298,157.94450869774425,159.9189228115062,1321200
2015-08-07,158.17684936523438,158.44232243810802,157.36386023185133,158.3510676516143,1854100
2015-08-10,160.18435668945312,160.23412969949274,159.19714979551352,159.19714979551352,1346700
2015-08-11,158.71607971191406,159.31336878230888,158.03581448688456,158.98154011448372,4996300
2015-08-12,158.85707092285156,159.0810495257181,156.21069550094145,157.5214399561817,3758700
2015-08-13,158.682861328125,159.3797090030114,158.25977795232612,158.79900260727274,1155900
2015-08-14,159.2967529296875,159.34652595361752,158.43397832006863,158.55011959538854,742500
2015-08-17,160.18435668945312,160.18435668945312,158.33438808511906,158.7989530567504,1926300
2015-08-18,159.69491577148438,160.2424442350139,159.5124062836412,159.97697128598858,1023800
2015-08-19,158.43392944335938,159.7363822404874,157.7204867840765,159.09759909406716,1771900
2015-08-20,155.1073455810547,157.5629075136763,155.0907503541122,157.09005114263363,4195700
2015-08-21,150.18792724609375,154.3275572160333,150.18792724609375,153.539454709196,6145900
2015-08-24,144.0655517578125,148.94349677480884,139.4364717989947,142.68843936314107,12325000
2015-08-25,142.3151397705078,149.15920786855648,142.16580806597588,148.62827460728818,8132200
2015-08-26,147.9646453857422,148.0890779582214,143.2526003254658,146.19762690583218,7086100
